latitude,logitude
0.8582569999999999,-51.1800169
0.6030784,-50.7006895
-0.8397650999999999,-52.5189889
0.04052170000000001,-51.0560957
-0.115823,-51.2862497
3.8429349,-51.8344456
0.7079947999999999,-51.4100688
1.7443538,-50.7849289
-0.037562,-51.1771699
1.5056624,-50.9118916
-0.9263977999999999,-52.42397829999999
-9.6231303,-49.1521341
-6.5595789,-47.4754575
-11.3057868,-48.9383337
-11.5687098,-47.1691351
-12.4802798,-49.1248843
-6.3655908,-48.0735643
-6.3892118,-47.8656649
-9.952912999999999,-47.9749273
-7.166438,-48.5247907
-8.807555299999999,-49.55679070000001
-12.9257288,-49.8300402
-7.191563299999999,-48.2094801
-2.9511594,-45.6656585
-5.648664399999999,-48.1211721
-7.656699400000001,-49.0652315
-12.9325033,-46.9367418
-5.4691028,-47.8864808
-12.7127926,-46.4082275
-5.6141434,-47.7681249
-7.203209800000001,-47.7590137
-7.761414800000001,-48.57878729999999
-7.712335500000001,-47.6744418
-9.8344095,-48.724429
-7.8792141,-48.8925268
-8.9660563,-48.1640487
-8.3895878,-48.4826413
-11.0144188,-48.5639126
-5.3166981,-48.2266038
-6.1194156,-47.9208558
-7.9741581,-46.8024037
-11.89097,-49.159576
-7.0362658,-48.39477609999999
-5.3238348,-48.0362392
-9.273323699999999,-49.956911
-8.958370200000001,-47.3359687
-10.1418795,-49.1778701
-11.6145007,-47.7506309
-8.0585155,-48.4771552
-12.8178879,-46.5479932
-12.223682,-47.2943894
-8.2845464,-49.2469336
-10.6017612,-49.194918
-11.1044715,-48.9184984
-6.706130099999999,-47.7531331
-11.6259869,-46.8201562
-9.804331,-49.2179317
-9.2561833,-49.06601029999999
-11.3400455,-49.2673619
-5.366953,-48.5400115
-10.7593769,-48.902561
-12.1319868,-49.17090899999999
-7.336229899999999,-47.4899968
-11.8034423,-49.5289751
-9.0568578,-48.52112049999999
-8.773527,-48.9345235
-7.7118745,-47.3154389
-8.838090700000002,-48.5123571
-11.7244438,-49.0613827
-11.2403843,-48.4464755
-8.3951233,-47.7735694
-5.7716582,-47.4805826
-8.383606,-48.1067293
-8.571936899999999,-48.6886404
-12.6523312,-48.59232799999999
-8.1184235,-49.0958165
-10.7870067,-49.61889499999999
-10.2970244,-47.5680056
-9.7545329,-48.3564936
-12.7892157,-46.5072106
-9.594672,-46.6742293
-6.1898992,-47.8605466
-9.7971805,-49.6564966
-10.5466808,-46.41679999999999
-5.9531598,-47.5083736
-9.5657593,-48.3929079
-9.531620199999999,-48.5920745
-10.7643814,-48.1105155
-10.0059011,-48.9935053
-6.6104238,-47.5479809
-7.144898299999999,-48.60980139999999
-11.708952,-47.7249253
-6.375367499999999,-47.6647352
-7.636642800000001,-48.4224573
-10.5682623,-48.9115512
-9.9667347,-47.6769863
-12.9152942,-46.5746425
-11.8209602,-46.6260016
-10.7089327,-48.9080571
-7.8595785,-47.9282119
-13.042426,-48.4073439
-10.1733012,-48.8851491
-12.6190684,-47.8690449
-14.235004,-51.92528
-8.975519499999999,-48.1736365
-12.0362616,-48.5421476
-8.5940846,-48.9334448
-8.733935599999999,-48.7529605
-11.1377567,-47.5779959
-6.7704923,-48.293526
-10.4427779,-49.1798964
-12.0871226,-46.4771472
-10.7446434,-47.5370905
-11.6080202,-47.0502413
-10.7069499,-48.4125873
-5.395594399999999,-47.8109663
-21.0996061,-41.0443255
-10.4255646,-48.8979416
-8.7375715,-47.2416333
-6.443243499999999,-48.1389297
-11.3994831,-46.8849968
-9.343684399999999,-48.5355243
-9.3465816,-47.8957171
-5.354595799999999,-47.8785932
-12.5393043,-49.92758320000001
-7.1521905,-48.6935532
-8.7731928,-47.74894889999999
-10.8645705,-48.9079185
-11.4484075,-48.118431
-10.2798395,-47.81168479999999
-6.4347951,-47.668263
-6.0278781,-47.92258169999999
-10.1696004,-46.6578634
-5.5548538,-47.5781656
-12.7484163,-48.23667
-5.2595154,-48.2047811
-11.6320771,-48.2481957
-11.1497982,-48.1719464
-5.603236799999999,-47.640047
-11.9862767,-48.9116302
-12.4060068,-46.4340889
-12.193852,-46.9925355
-12.799779,-49.09157570000001
-10.249091,-48.32428580000001
-9.5655428,-48.3754534
-6.325178999999999,-47.4273023
-8.9762952,-48.19198919999999
-8.3997525,-48.1291444
-6.8491792,-47.96407869999999
-6.4082759,-48.537641
-4.9537152,-47.5035086
-4.1315571,-43.3230842
-2.8409886,-42.1190137
-2.4039084,-44.4153732
-4.6291202,-43.4697644
-4.1669091,-45.4646051
-4.2145714,-44.4496732
-3.665842999999999,-45.8447357
-9.1119383,-45.9333847
-1.6770126,-46.0110181
-5.5694976,-46.7481405
-3.263237,-44.6168328
-3.6729343,-43.115382
-1.5282615,-45.0786169
-2.9511594,-45.6656585
-2.8876129,-41.9041637
-4.8871568,-46.0101522
-3.4565674,-44.7769469
-2.8365249,-44.0528678
-4.2310701,-44.780044
